"
",4046
 ,31914
!,457
"""",2307
#,1
$,2
%,1
&,2
',802
(,89
),89
*,48
",",2591
-,884
.,1240
/,31
0,27
1,77
2,23
3,22
4,18
5,21
6,16
7,9
8,31
9,16
:,277
;,198
?,212
@,2
A,748
B,139
C,199
D,243
E,265
F,134
G,188
H,259
I,865
J,14
K,89
L,159
M,209
N,185
O,195
P,205
Q,90
R,200
S,268
T,563
U,85
V,32
W,247
X,11
Y,114
Z,1
[,41
],41
_,514
a,9443
b,1667
c,2915
d,5435
e,15612
f,2312
g,2841
h,7843
i,8084
j,224
k,1225
l,5297
m,2337
n,8173
o,9580
p,1846
q,147
r,6681
s,7230
t,12074
u,4049
v,968
w,2802
x,174
y,2558
z,78
·,13
ù,1
﻿,1
